,PX_LAST,date,Ticker
116,1304.86,2002-08-30,SPXT INDEX
117,1163.04,2002-09-30,SPXT INDEX
118,1265.41,2002-10-31,SPXT INDEX
119,1339.89,2002-11-29,SPXT INDEX
120,1261.18,2002-12-31,SPXT INDEX
121,1228.14,2003-01-31,SPXT INDEX
122,1209.71,2003-02-28,SPXT INDEX
123,1221.46,2003-03-31,SPXT INDEX
124,1322.07,2003-04-30,SPXT INDEX
125,1391.72,2003-05-30,SPXT INDEX
126,1409.48,2003-06-30,SPXT INDEX
127,1434.33,2003-07-31,SPXT INDEX
128,1462.3,2003-08-29,SPXT INDEX
129,1446.77,2003-09-30,SPXT INDEX
130,1528.62,2003-10-31,SPXT INDEX
131,1542.07,2003-11-28,SPXT INDEX
132,1622.94,2003-12-31,SPXT INDEX
133,1652.73,2004-01-30,SPXT INDEX
134,1675.7,2004-02-27,SPXT INDEX
135,1650.42,2004-03-31,SPXT INDEX
136,1624.51,2004-04-30,SPXT INDEX
137,1646.8,2004-05-31,SPXT INDEX
138,1678.83,2004-06-30,SPXT INDEX
139,1623.26,2004-07-30,SPXT INDEX
140,1629.83,2004-08-31,SPXT INDEX
141,1647.48,2004-09-30,SPXT INDEX
142,1672.65,2004-10-29,SPXT INDEX
143,1740.33,2004-11-30,SPXT INDEX
144,1799.55,2004-12-31,SPXT INDEX
145,1755.68,2005-01-31,SPXT INDEX
146,1792.63,2005-02-28,SPXT INDEX
147,1760.89,2005-03-31,SPXT INDEX
148,1727.49,2005-04-29,SPXT INDEX
149,1782.46,2005-05-31,SPXT INDEX
150,1784.99,2005-06-30,SPXT INDEX
151,1851.37,2005-07-29,SPXT INDEX
152,1834.48,2005-08-31,SPXT INDEX
153,1849.33,2005-09-30,SPXT INDEX
154,1818.5,2005-10-31,SPXT INDEX
155,1887.28,2005-11-30,SPXT INDEX
156,1887.94,2005-12-30,SPXT INDEX
157,1937.93,2006-01-31,SPXT INDEX
158,1943.19,2006-02-28,SPXT INDEX
159,1967.38,2006-03-31,SPXT INDEX
160,1993.79,2006-04-28,SPXT INDEX
161,1936.41,2006-05-31,SPXT INDEX
162,1939.03,2006-06-30,SPXT INDEX
163,1950.99,2006-07-31,SPXT INDEX
164,1997.42,2006-08-31,SPXT INDEX
165,2048.89,2006-09-29,SPXT INDEX
166,2115.65,2006-10-31,SPXT INDEX
167,2155.89,2006-11-30,SPXT INDEX
168,2186.13,2006-12-29,SPXT INDEX
169,2219.19,2007-01-31,SPXT INDEX
170,2175.78,2007-02-28,SPXT INDEX
171,2200.12,2007-03-30,SPXT INDEX
172,2297.57,2007-04-30,SPXT INDEX
173,2377.75,2007-05-31,SPXT INDEX
174,2338.25,2007-06-29,SPXT INDEX
175,2265.75,2007-07-31,SPXT INDEX
176,2299.71,2007-08-31,SPXT INDEX
177,2385.72,2007-09-28,SPXT INDEX
178,2423.67,2007-10-31,SPXT INDEX
179,2322.34,2007-11-30,SPXT INDEX
180,2306.23,2007-12-31,SPXT INDEX
181,2167.9,2008-01-31,SPXT INDEX
182,2097.48,2008-02-29,SPXT INDEX
183,2088.42,2008-03-31,SPXT INDEX
184,2190.13,2008-04-30,SPXT INDEX
185,2218.5,2008-05-30,SPXT INDEX
186,2031.47,2008-06-30,SPXT INDEX
187,2014.39,2008-07-31,SPXT INDEX
188,2043.53,2008-08-29,SPXT INDEX
189,1861.44,2008-09-30,SPXT INDEX
190,1548.81,2008-10-31,SPXT INDEX
191,1437.68,2008-11-28,SPXT INDEX
192,1452.98,2008-12-31,SPXT INDEX
193,1330.51,2009-01-30,SPXT INDEX
194,1188.84,2009-02-27,SPXT INDEX
195,1292.98,2009-03-31,SPXT INDEX
196,1416.73,2009-04-30,SPXT INDEX
197,1495.97,2009-05-29,SPXT INDEX
198,1498.94,2009-06-30,SPXT INDEX
199,1612.31,2009-07-31,SPXT INDEX
200,1670.52,2009-08-31,SPXT INDEX
201,1732.86,2009-09-30,SPXT INDEX
202,1700.67,2009-10-30,SPXT INDEX
203,1802.68,2009-11-30,SPXT INDEX
204,1837.5,2009-12-31,SPXT INDEX
205,1771.4,2010-01-29,SPXT INDEX
206,1826.27,2010-02-26,SPXT INDEX
207,1936.48,2010-03-31,SPXT INDEX
208,1967.05,2010-04-30,SPXT INDEX
209,1809.98,2010-05-31,SPXT INDEX
210,1715.23,2010-06-30,SPXT INDEX
211,1835.4,2010-07-30,SPXT INDEX
212,1752.55,2010-08-31,SPXT INDEX
213,1908.95,2010-09-30,SPXT INDEX
214,1981.59,2010-10-29,SPXT INDEX
215,1981.84,2010-11-30,SPXT INDEX
216,2114.29,2010-12-31,SPXT INDEX
217,2164.4,2011-01-31,SPXT INDEX
218,2238.55,2011-02-28,SPXT INDEX
219,2239.44,2011-03-31,SPXT INDEX
220,2305.76,2011-04-29,SPXT INDEX
221,2279.66,2011-05-31,SPXT INDEX
222,2241.66,2011-06-30,SPXT INDEX
223,2196.08,2011-07-29,SPXT INDEX
224,2076.78,2011-08-31,SPXT INDEX
225,1930.79,2011-09-30,SPXT INDEX
226,2141.81,2011-10-31,SPXT INDEX
227,2137.08,2011-11-30,SPXT INDEX
228,2158.94,2011-12-30,SPXT INDEX
229,2255.69,2012-01-31,SPXT INDEX
230,2353.23,2012-02-29,SPXT INDEX
231,2430.67,2012-03-30,SPXT INDEX
232,2415.42,2012-04-30,SPXT INDEX
233,2270.25,2012-05-31,SPXT INDEX
234,2363.79,2012-06-29,SPXT INDEX
235,2396.62,2012-07-31,SPXT INDEX
236,2450.6,2012-08-31,SPXT INDEX
237,2513.93,2012-09-28,SPXT INDEX
238,2467.51,2012-10-31,SPXT INDEX
239,2481.82,2012-11-30,SPXT INDEX
240,2504.44,2012-12-31,SPXT INDEX
241,2634.16,2013-01-31,SPXT INDEX
242,2669.92,2013-02-28,SPXT INDEX
243,2770.05,2013-03-29,SPXT INDEX
244,2823.42,2013-04-30,SPXT INDEX
245,2889.46,2013-05-31,SPXT INDEX
246,2850.66,2013-06-28,SPXT INDEX
247,2995.72,2013-07-31,SPXT INDEX
248,2908.96,2013-08-30,SPXT INDEX
249,3000.18,2013-09-30,SPXT INDEX
250,3138.09,2013-10-31,SPXT INDEX
251,3233.72,2013-11-29,SPXT INDEX
252,3315.59,2013-12-31,SPXT INDEX
253,3200.95,2014-01-31,SPXT INDEX
254,3347.38,2014-02-28,SPXT INDEX
255,3375.51,2014-03-31,SPXT INDEX
256,3400.46,2014-04-30,SPXT INDEX
257,3480.29,2014-05-30,SPXT INDEX
258,3552.18,2014-06-30,SPXT INDEX
259,3503.19,2014-07-31,SPXT INDEX
260,3643.34,2014-08-29,SPXT INDEX
261,3592.25,2014-09-30,SPXT INDEX
262,3679.99,2014-10-31,SPXT INDEX
263,3778.96,2014-11-28,SPXT INDEX
264,3769.44,2014-12-31,SPXT INDEX
265,3656.28,2015-01-30,SPXT INDEX
266,3866.42,2015-02-27,SPXT INDEX
267,3805.27,2015-03-31,SPXT INDEX
268,3841.78,2015-04-30,SPXT INDEX
269,3891.18,2015-05-29,SPXT INDEX
270,3815.85,2015-06-30,SPXT INDEX
271,3895.8,2015-07-31,SPXT INDEX
272,3660.75,2015-08-31,SPXT INDEX
273,3570.17,2015-09-30,SPXT INDEX
274,3871.33,2015-10-30,SPXT INDEX
275,3882.84,2015-11-30,SPXT INDEX
276,3821.6,2015-12-31,SPXT INDEX
277,3631.96,2016-01-29,SPXT INDEX
278,3627.06,2016-02-29,SPXT INDEX
279,3873.11,2016-03-31,SPXT INDEX
280,3888.13,2016-04-29,SPXT INDEX
281,3957.95,2016-05-31,SPXT INDEX
282,3968.21,2016-06-30,SPXT INDEX
283,4114.51,2016-07-29,SPXT INDEX
