,SPXT INDEX
2002-08-31,2.52791661823395
2002-09-30,2.2531674997094044
2002-10-31,2.4514897903832007
2002-11-30,2.595780541671511
2002-12-31,2.4432949746212573
2003-01-31,2.3792862954783227
2003-02-28,2.3435816963074907
2003-03-31,2.3663450734240006
2003-04-30,2.561257700802047
2003-05-31,2.696191251113954
2003-06-30,2.7305978534619717
2003-07-31,2.778739974427526
2003-08-31,2.832926498508273
2003-09-30,2.802840094540665
2003-10-31,2.9614088108799264
2003-11-30,2.98746561277074
2003-12-31,3.1441357665930503
2004-01-31,3.201848192490993
2004-02-29,3.246348173117906
2004-03-31,3.1973730094153217
2004-04-30,3.147177341237554
2004-05-31,3.1903599519547456
2004-06-30,3.2524119493200057
2004-07-31,3.1447557053740955
2004-08-31,3.157483823472433
2004-09-30,3.1916773218644665
2004-10-31,3.240439381611067
2004-11-30,3.3715564338021626
2004-12-31,3.486283854469372
2005-01-31,3.401294122205433
2005-02-28,3.4728776783292656
2005-03-31,3.411387500484328
2005-04-30,3.346681390212717
2005-05-31,3.453175248944167
2005-06-30,3.4580766399318073
2005-07-31,3.5866751908249066
2005-08-31,3.553954047037856
2005-09-30,3.5827230810957422
2005-10-31,3.522995854159402
2005-11-30,3.656243945910342
2005-12-31,3.6575225696462486
2006-01-31,3.75436863109768
2006-02-28,3.7645588748111125
2006-03-31,3.811422372040761
2006-04-30,3.862586694563912
2006-05-31,3.751423921887714
2006-06-30,3.7564996706575227
2006-07-31,3.7796698825990935
2006-08-31,3.869619125111395
2006-09-30,3.969332403425162
2006-10-31,4.098667131620752
2006-11-30,4.176624433337207
2006-12-31,4.235208648145996
2007-01-31,4.299256073462745
2007-02-28,4.21515750319656
2007-03-31,4.262311596729822
2007-04-30,4.451102328645047
2007-05-31,4.606435739470728
2007-06-30,4.529912046185439
2007-07-31,4.3894571661048465
2007-08-31,4.455248169243286
2007-09-30,4.621876089736137
2007-10-31,4.695396954550738
2007-11-30,4.49908946491534
2007-12-31,4.467879421907087
2008-01-31,4.199891510713317
2008-02-29,4.06346623270952
2008-03-31,4.045914215971173
2008-04-30,4.242957882909063
2008-05-31,4.297919330466116
2008-06-30,3.935584486032004
2008-07-31,3.9024952535937074
2008-08-31,3.958948428842651
2008-09-30,3.6061838893409273
2008-10-31,3.0005230733465065
2008-11-30,2.785229958541594
2008-12-31,2.8148707815103253
2009-01-31,2.5776085861521167
2009-02-28,2.303150063931186
2009-03-31,2.5049013909876394
2009-04-30,2.744643341470029
2009-05-31,2.8981556821263896
2009-06-30,2.9039094889379675
2009-07-31,3.123542175210198
2009-08-31,3.236312914099732
2009-09-30,3.357084737882133
2009-10-31,3.2947227711263505
2009-11-30,3.4923476306714702
2009-12-31,3.5598047192839695
2010-01-31,3.431748614824285
2010-02-28,3.5380487426866587
2010-03-31,3.751559533496066
2010-04-30,3.8107830601728065
2010-05-31,3.5064899841140673
2010-06-30,3.3229299856639143
2010-07-31,3.555736371033359
2010-08-31,3.3952303460033306
2010-09-30,3.698225425239256
2010-10-31,3.8389515285365547
2010-11-30,3.8394358557092465
2010-12-31,4.096032391801307
2011-01-31,4.193110930295631
2011-02-28,4.336762369715988
2011-03-31,4.33848657445077
2011-04-30,4.466968886822423
2011-05-31,4.416405129993409
2011-06-30,4.342787399744271
2011-07-31,4.254484869619121
2011-08-31,4.0233639428106445
2011-09-30,3.740536247045601
2011-10-31,4.149347126971208
2011-11-30,4.140183656863882
2011-12-31,4.182533224844043
2012-01-31,4.36996784067573
2012-02-29,4.558932930373122
2012-03-31,4.708958115386102
2012-04-30,4.679414157851909
2012-05-31,4.3981750552132945
2012-06-30,4.57939091014762
2012-07-31,4.642992754465493
2012-08-31,4.747568677593085
2012-09-30,4.870258436979346
2012-10-31,4.780328567553952
2012-11-30,4.808051454918824
2012-12-31,4.851873377503969
2013-01-31,5.103181060870236
2013-02-28,5.172459219652057
2013-03-31,5.366441938858536
2013-04-30,5.4698361036847585
2013-05-31,5.597775969622997
2013-06-30,5.522608392421246
2013-07-31,5.803634391103876
2013-08-31,5.635553489092951
2013-09-30,5.8122747878646965
2013-10-31,6.0794490294083445
2013-11-30,6.264713859506371
2013-12-31,6.42332132201945
2014-01-31,6.201228253709945
2014-02-28,6.484908365298926
2014-03-31,6.5394048587701965
2014-04-30,6.587740710604827
2014-05-31,6.74239606338874
2014-06-30,6.881669185167963
2014-07-31,6.7867604324072985
2014-08-31,7.058274245418264
2014-09-30,6.959297144406989
2014-10-31,7.129276608934866
2014-11-30,7.321012050060056
2014-12-31,7.302568871323956
2015-01-31,7.083343019876787
2015-02-28,7.490449068154519
2015-03-31,7.37198264171413
2015-04-30,7.4427137820140254
2015-05-31,7.538416831337905
2015-06-30,7.392479367662443
2015-07-31,7.5473671974892484
2015-08-31,7.092002789724515
2015-09-30,6.91652136851486
2015-10-31,7.499961253826185
2015-11-30,7.52225967685691
2015-12-31,7.403618892634352
2016-01-31,7.036227672517339
2016-02-29,7.026734859932581
2016-03-31,7.50340966329575
2016-04-30,7.532508039831068
2016-05-31,7.667770932620405
2016-06-30,7.687647719787673
